2024-09-01 14:06,11500
2024-09-02 14:08,20770
2024-09-03 14:12,19970
2024-09-04 14:06,11230
2024-09-05 14:08,20450
2024-09-06 14:12,29650
2024-09-07 14:12,29650
2024-09-08 14:12,29650
2024-09-09 14:12,29650
2024-09-10 14:12,29650
2024-09-11 14:06,11500
2024-09-12 14:08,20770
2024-09-13 14:12,19970
2024-09-14 14:06,11230
2024-09-15 14:08,20450
2024-09-16 14:12,29650
2024-09-17 14:12,29650
2024-09-18 14:12,29650
2024-09-19 14:12,29650
2024-09-20 14:12,29650
2024-09-21 14:06,11500
2024-09-22 14:08,20770
2024-09-23 14:12,19970
2024-09-24 14:06,11230
2024-09-25 14:08,20450
2024-09-26 14:12,29650
2024-09-27 14:12,29650
2024-09-28 14:12,29650
2024-09-29 14:12,29650
2024-09-30 14:12,29650
